Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2a_Hurink_sdata_38_workers.fjs;1;1000;5538.883788162562;2623.0;51.52827643582376;2.1116598506147777;108170;1237350;129600.74284505844;77586
2a_Hurink_sdata_38_workers.fjs;2;1001;4948.784779634479;2332.0;42.12042296801519;2.122120402930737;269770;1031720;129600.95320439339;80603
2a_Hurink_sdata_38_workers.fjs;3;1002;4913.076025232782;2312.0;58.61399091062985;2.1250328828861513;232790;1635210;129600.88254666328;74657
2a_Hurink_sdata_38_workers.fjs;4;1003;5504.523886216302;2595.0;56.99684498885037;2.1212038097172647;1046790;1244400;129600.77110099792;78645
2a_Hurink_sdata_38_workers.fjs;5;1004;5351.839804762964;2528.0;42.09322630737952;2.117025239225856;162150;1052710;129600.67703795433;80018
2a_Hurink_sdata_38_workers.fjs;6;1005;5432.102089690997;2573.0;50.25205749192231;2.111193971897006;367840;1318280;129600.64305758476;77295
2a_Hurink_sdata_38_workers.fjs;7;1006;5187.840883341741;2450.0;74.49388097140562;2.1174860748333635;202800;1216640;129600.41694617271;78578
2a_Hurink_sdata_38_workers.fjs;8;1007;4919.311201933125;2328.0;60.0202107749473;2.1131061863973906;281630;1199450;129600.3876554966;78459
2a_Hurink_sdata_38_workers.fjs;9;1008;5156.7122798558;2446.0;58.61147038289587;2.10822251833843;192900;1387460;129600.80863547325;77103
2a_Hurink_sdata_38_workers.fjs;10;1009;5141.228554175259;2419.0;72.42335706389044;2.1253528541443814;579320;1286640;129600.93529677391;77500
