Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2c_Hurink_rdata_50_workers.fjs;1;1000;12599.331889483923;5981.0;213.7208739412223;2.106559419743174;4534730;5000000;36646.51760530472;26255
2c_Hurink_rdata_50_workers.fjs;2;1001;12906.783378304606;6107.0;275.40518201887727;2.113440867578943;2669140;5000000;37480.040009737015;27776
2c_Hurink_rdata_50_workers.fjs;3;1002;13300.292361788051;6256.0;284.73775736696825;2.1260058123062744;2006550;5000000;35208.57669520378;24024
2c_Hurink_rdata_50_workers.fjs;4;1003;13217.18931496226;6221.0;309.5740438964729;2.124608473711985;3077360;5000000;36241.74201440811;25572
2c_Hurink_rdata_50_workers.fjs;5;1004;12880.112147426964;6105.0;241.64110761343386;2.109764479513016;4710250;5000000;35966.47238755226;25533
2c_Hurink_rdata_50_workers.fjs;6;1005;12993.973618142365;6149.0;168.1175480119216;2.1131848460143705;4355000;5000000;35872.35578870773;25100
2c_Hurink_rdata_50_workers.fjs;7;1006;13283.965231858272;6152.0;509.17895110152887;2.1592921378183147;3368380;5000000;34563.76299905777;22915
2c_Hurink_rdata_50_workers.fjs;8;1007;13658.342119993706;6497.0;190.28138409222478;2.1022536740024176;3741470;5000000;33954.054839372635;22119
2c_Hurink_rdata_50_workers.fjs;9;1008;13388.413438187743;6370.0;259.4259130900875;2.101791748538107;733900;5000000;34361.93256664276;22023
2c_Hurink_rdata_50_workers.fjs;10;1009;12703.251352375508;6021.0;336.19381354167996;2.109824174119832;3191330;5000000;37972.04792380333;28222
