Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
6_Fattahi_14_workers.fjs;1;1000;1222.3043302293215;580.0;42.42785338287524;2.1074212590160717;4545930;5000000;20114.419650554657;16244
6_Fattahi_14_workers.fjs;2;1001;1190.087229497309;565.0;23.769060984177592;2.106349078756299;2345890;5000000;19721.0182492733;16241
6_Fattahi_14_workers.fjs;3;1002;1284.6019284756985;606.0;45.369953871859025;2.1198051625011525;4589960;5000000;19636.832770586014;16335
6_Fattahi_14_workers.fjs;4;1003;1198.3651145554186;558.0;73.6997308774627;2.1476077321781695;4842210;5000000;19729.86390686035;16340
6_Fattahi_14_workers.fjs;5;1004;1266.0281120417396;595.0;37.46650014912898;2.127778339565949;2936410;5000000;19850.902542352676;16277
6_Fattahi_14_workers.fjs;6;1005;1208.266061582171;573.0;25.581034553366816;2.1086667741399143;1457000;5000000;19757.422359466553;16242
6_Fattahi_14_workers.fjs;7;1006;1313.0034733525708;614.0;53.18245348251328;2.1384421390107016;4921680;5000000;19686.536386966705;16260
6_Fattahi_14_workers.fjs;8;1007;1228.405810764075;585.0;25.5713753478361;2.0998389927591026;4609820;5000000;19845.650758981705;16278
6_Fattahi_14_workers.fjs;9;1008;1216.3118729363728;561.0;39.92238804130269;2.1681138555015558;4772310;5000000;19757.84356069565;16294
6_Fattahi_14_workers.fjs;10;1009;1259.985012117914;595.0;42.81600864575144;2.117621869105738;1206750;5000000;19805.88889336586;16247
