Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
3_DPpaulli_18_workers.fjs;1;1000;6407.5124544980945;3021.0;61.849738199123706;2.120990550975867;456030;1258650;129601.58387088776;54501
3_DPpaulli_18_workers.fjs;2;1001;6518.034271709214;3058.0;76.06534588360017;2.131469676817925;510330;1146560;129600.73908400536;55898
3_DPpaulli_18_workers.fjs;3;1002;6131.456308472663;2891.0;59.705120000853974;2.1208773118203608;1079120;1088410;129601.06948924065;56804
3_DPpaulli_18_workers.fjs;4;1003;6434.594096860161;3032.0;64.33789864100825;2.12222760450533;271970;850040;129601.40441727638;59066
3_DPpaulli_18_workers.fjs;5;1004;6462.7828763320485;3053.0;49.2449480758148;2.1168630449826558;685890;1069980;129601.52297353745;56632
3_DPpaulli_18_workers.fjs;6;1005;6090.129513544605;2871.0;36.97956272528868;2.1212572321646133;1121330;1308360;129601.0640001297;53723
3_DPpaulli_18_workers.fjs;7;1006;6980.391579987303;3258.0;91.16814145051667;2.142538852052579;177070;799640;129600.12076497078;59722
3_DPpaulli_18_workers.fjs;8;1007;7003.552774484808;3310.0;57.75098965570017;2.1158769711434466;746050;857760;129600.51706314087;59026
3_DPpaulli_18_workers.fjs;9;1008;6872.14161931933;3234.0;58.370703491468504;2.1249664871117284;787840;1110780;129600.10328960419;56280
3_DPpaulli_18_workers.fjs;10;1009;6622.242903111055;3116.0;57.52058362108805;2.1252384156325594;512920;850710;129600.15157437325;59289
