variant,source,successful_runs,expected_runs,mean_fitness,median_fitness,mean_raw_function_evaluations,mean_best_found_function_evaluations,mean_runtime_s,mean_final_robust_stdev,mean_final_R,fe_cap_saturated_runs,fe_cap_saturation_rate,final_validation_simulations_per_run
hpo_plain_ga,new,300,300,3415.407304880709,2221.547322398519,4891412.16,4004441.4,129603.00266317208,48.52939876663497,2.1154949603635558,290,0.9666666666666667,50
hpo_no_rl,read_only_reference,300,300,3207.1269754400473,2056.0290497020887,4119704.2,2241302.76,129600.87347642501,47.74903779261768,2.1220727016680008,191,0.6366666666666667,50
hpo_rl_only,new,300,300,3414.0451101436956,2157.5803814206674,4913264.8,4111965.36,129603.43307362159,49.554973206833026,2.1161338639343117,290,0.9666666666666667,50
hpo_with_rl,read_only_reference,300,300,3188.3230351249003,2075.82768847893,4147446.4,2250428.6,129600.88377707243,46.079904944312794,2.120837536749986,191,0.6366666666666667,50
