variant,instance,successful_runs,median_fitness,mean_fitness,mean_raw_function_evaluations,mean_best_found_function_evaluations,mean_runtime_s,fe_cap_saturated_runs
hpo_no_rl,2c_Hurink_rdata_38_workers.fjs,10,4330.072068947751,4363.56425365472,1547188.8,638071.2,129601.08364973069,0
hpo_no_rl,2c_Hurink_rdata_50_workers.fjs,10,12984.758185000464,13030.191543673287,4999992,2813395.2,129600.5505325079,10
hpo_no_rl,2d_Hurink_vdata_18_workers.fjs,10,2405.983650768681,2408.938025541388,4999992,2674204.8,129600.88286914825,10
hpo_no_rl,2d_Hurink_vdata_30_workers.fjs,10,2778.2787638174195,2793.389112694264,4303747.2,1626052.8,129600.9114314556,0
hpo_no_rl,2d_Hurink_vdata_5_workers.fjs,10,1157.0797678681758,1168.8143900685168,4999992,2501616,129600.50592398643,10
hpo_no_rl,3_DPpaulli_15_workers.fjs,10,6140.802149049347,6183.137180983843,1276446,644114.4,129601.49203586578,0
hpo_no_rl,3_DPpaulli_18_workers.fjs,10,6141.669383502262,6084.273826512623,1195808.4,752370,129601.79660031796,0
hpo_no_rl,3_DPpaulli_1_workers.fjs,10,6206.6408773414405,6172.253973167464,3971768.4,1538558.4,129601.05820944309,0
hpo_no_rl,3_DPpaulli_9_workers.fjs,10,5485.157360311327,5513.042031204676,2842648.8,1378531.2,129601.38481771946,0
hpo_no_rl,4_ChambersBarnes_10_workers.fjs,10,2251.291777613901,2283.764041401661,4999992,1814488.8,129601.13960242271,10
hpo_no_rl,5_Kacem_3_workers.fjs,10,16.860441943627244,16.653797490555547,4999992,3553156.8,129600.45459268094,10
hpo_no_rl,5_Kacem_4_workers.fjs,10,32.36109532463876,31.946616661142258,4999992,3880041.6,129600.3626559019,10
hpo_no_rl,6_Fattahi_14_workers.fjs,10,1214.6712448739886,1216.1773997048228,4999992,1791256.8,129600.48869297505,10
hpo_no_rl,6_Fattahi_20_workers.fjs,10,2850.8090521508634,2858.3870968968954,4999992,3533294.4,129600.41249184609,10
hpo_rl_only,0_BehnkeGeiger_42_workers.fjs,10,198.61151302675904,199.8560803629167,4999992,4626730.8,129600.93262417316,10
hpo_rl_only,0_BehnkeGeiger_46_workers.fjs,10,314.5595659144467,314.38930932822933,4999992,4345359.6,129600.91705007553,10
hpo_rl_only,0_BehnkeGeiger_60_workers.fjs,10,1825.0875305248196,1830.5801305227703,2398176,2215932,129680.38467433452,0
hpo_rl_only,1_Brandimarte_12_workers.fjs,10,1196.8221041491465,1205.59154056259,4999992,4501522.8,129600.82687847615,10
hpo_rl_only,1_Brandimarte_14_workers.fjs,10,1558.6938146418604,1544.8512803524477,4999992,4588012.8,129600.77975132465,10
hpo_rl_only,1_Brandimarte_7_workers.fjs,10,412.3639110604706,413.02299918726527,4999992,4381458,129600.65617880822,10
hpo_rl_only,2a_Hurink_sdata_18_workers.fjs,10,2861.075971454132,2879.286508358132,4999992,4639207.2,129600.57060081958,10
hpo_rl_only,2a_Hurink_sdata_1_workers.fjs,10,119.2879334232073,117.13396537806267,4999992,3547819.2,129600.35880293846,10
hpo_rl_only,2a_Hurink_sdata_38_workers.fjs,10,5379.7841501009825,5374.751382079138,4999992,4349870.4,129601.56224913597,10
hpo_rl_only,2a_Hurink_sdata_40_workers.fjs,10,3791.312588281227,3739.136405740296,4999992,4227542.4,129601.23073496818,10
hpo_rl_only,2a_Hurink_sdata_54_workers.fjs,10,19108.139635123618,19139.163482609023,4999992,3770749.2,129600.69465112686,10
hpo_rl_only,2a_Hurink_sdata_61_workers.fjs,10,2110.5081676834866,2113.6860345502287,4999992,3709041.6,129600.66079826355,10
hpo_rl_only,2a_Hurink_sdata_63_workers.fjs,10,898.5326755352467,903.5984047525446,4999992,3758683.2,129600.65879306794,10
hpo_rl_only,2b_Hurink_edata_1_workers.fjs,10,109.35188972675698,109.47974219744557,4999992,3461552.4,129600.25413866043,10
hpo_rl_only,2b_Hurink_edata_6_workers.fjs,10,1263.459155283979,1284.9143194433618,4999992,3653377.2,129600.28466842175,10
hpo_rl_only,2c_Hurink_rdata_28_workers.fjs,10,2336.5748991942864,2309.870958937652,4999992,4294532.4,129600.65490410328,10
hpo_rl_only,2c_Hurink_rdata_38_workers.fjs,10,4744.920419860991,4818.974715660306,4999992,4802683.2,129601.29125869274,10
hpo_rl_only,2c_Hurink_rdata_50_workers.fjs,10,13764.023824037085,13715.456862768364,4999992,3325069.2,129600.41367709637,10
hpo_rl_only,2d_Hurink_vdata_18_workers.fjs,10,2543.717321796422,2563.9605406180845,4999992,4343697.6,129600.5322357893,10
hpo_rl_only,2d_Hurink_vdata_30_workers.fjs,10,3063.315526910166,3140.985640091683,4999992,4391458.8,129600.86139752864,10
hpo_rl_only,2d_Hurink_vdata_5_workers.fjs,10,1223.7047223102982,1230.4242208590063,4999992,3854186.4,129600.44078102111,10
hpo_rl_only,3_DPpaulli_15_workers.fjs,10,7202.1066979847765,7109.124945699361,4999992,4746631.2,129601.79498400688,10
hpo_rl_only,3_DPpaulli_18_workers.fjs,10,6994.205912216799,7033.74020777644,4999992,4854824.4,129601.225629735,10
hpo_rl_only,3_DPpaulli_1_workers.fjs,10,6455.789443856512,6484.6056459726715,4999992,4297843.2,129600.95474481583,10
hpo_rl_only,3_DPpaulli_9_workers.fjs,10,6056.846928018051,6102.4974076734325,4999992,4574434.8,129601.32468655109,10
hpo_rl_only,4_ChambersBarnes_10_workers.fjs,10,2278.875369969137,2317.2826439490054,4999992,4566003.6,129600.85844581127,10
hpo_rl_only,5_Kacem_3_workers.fjs,10,18.84402123045131,18.513926116780652,4999992,3912874.8,129600.42740166187,10
hpo_rl_only,5_Kacem_4_workers.fjs,10,40.071166717738635,42.16975005890201,4999992,3954544.8,129600.59592642784,10
hpo_rl_only,6_Fattahi_14_workers.fjs,10,1247.4575320521922,1257.7217768353498,4999992,3410028,129600.41515021324,10
hpo_rl_only,6_Fattahi_20_workers.fjs,10,3085.37397206494,3106.5824758693757,4999992,4253289.6,129600.4283905983,10
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,10,184.46865211881368,184.29736142788107,4999992,4359708,129600.74340279102,10
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,10,288.6683006658633,289.72576818331413,4999992,4198632,129601.30090391636,10
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,10,1743.0032256678935,1775.6701965190744,580687.2,337490.4,129603.04089639187,0
hpo_with_rl,1_Brandimarte_12_workers.fjs,10,1149.464680461301,1145.4919303167667,4286708.4,1808493.6,129600.86324808598,0
hpo_with_rl,1_Brandimarte_14_workers.fjs,10,1444.0864675517928,1445.3791816908795,3042517.2,1029355.2,129601.66670827866,0
hpo_with_rl,1_Brandimarte_7_workers.fjs,10,367.50018821018944,370.6364990186485,4999992,1936681.2,129600.52729158402,10
hpo_with_rl,2a_Hurink_sdata_18_workers.fjs,10,2770.9287426425008,2771.810437561277,4999992,2108283.6,129600.44959871769,10
hpo_with_rl,2a_Hurink_sdata_1_workers.fjs,10,113.33264079843823,114.43457183206561,4999992,2630907.6,129600.50113947391,10
hpo_with_rl,2a_Hurink_sdata_38_workers.fjs,10,4899.537114668354,4923.784546718829,1703204.4,763926,129601.48094685077,0
hpo_with_rl,2a_Hurink_sdata_40_workers.fjs,10,3566.979939831458,3567.5609613418646,4215992.4,1501855.2,129601.42226221561,1
hpo_with_rl,2a_Hurink_sdata_54_workers.fjs,10,18863.899735531195,18641.944688010663,4999992,3794052,129600.47842013836,10
hpo_with_rl,2a_Hurink_sdata_61_workers.fjs,10,2012.8253097902598,2013.4657988755785,4999992,2991457.2,129600.91219573021,10
hpo_with_rl,2a_Hurink_sdata_63_workers.fjs,10,886.8676977373232,892.4185698293081,4999992,2438536.8,129600.55875806809,10
hpo_with_rl,2b_Hurink_edata_1_workers.fjs,10,107.63738998682092,107.6369920417888,4999992,3110820,129600.55862321853,10
hpo_with_rl,2b_Hurink_edata_6_workers.fjs,10,1246.5865104366926,1248.659651736536,4999992,3718303.2,129600.57296571732,10
hpo_with_rl,2c_Hurink_rdata_28_workers.fjs,10,2166.264085418685,2162.8577844644283,4999992,1575781.2,129600.69961826802,10
hpo_with_rl,2c_Hurink_rdata_38_workers.fjs,10,4423.4764667311665,4380.532245081951,1866580.8,807415.2,129600.60976159573,0
hpo_with_rl,2c_Hurink_rdata_50_workers.fjs,10,12936.13443155212,12989.446466669826,4999992,2347762.8,129600.49189596176,10
hpo_with_rl,2d_Hurink_vdata_18_workers.fjs,10,2429.9039022044426,2419.8216581172537,4999992,2187934.8,129600.63864073754,10
hpo_with_rl,2d_Hurink_vdata_30_workers.fjs,10,2819.9486145201327,2811.3055897511495,4214754,1321410,129601.24331941604,0
hpo_with_rl,2d_Hurink_vdata_5_workers.fjs,10,1184.4899887147462,1176.0275141663149,4999992,3063549.6,129600.57059016227,10
hpo_with_rl,3_DPpaulli_15_workers.fjs,10,6108.403665736974,6097.637048651151,1418292,758617.2,129601.3674443245,0
hpo_with_rl,3_DPpaulli_18_workers.fjs,10,6214.94295158402,6148.066487251526,1353988.8,739591.2,129601.45623471736,0
hpo_with_rl,3_DPpaulli_1_workers.fjs,10,6238.627815876039,6209.960681429057,3909193.2,1449834,129600.79146456718,0
hpo_with_rl,3_DPpaulli_9_workers.fjs,10,5412.488372358672,5424.2993561055855,2831625.6,1122978,129601.29764301777,0
hpo_with_rl,4_ChambersBarnes_10_workers.fjs,10,2201.6122847317374,2231.1915228469247,4999992,2078604,129600.7029025793,10
hpo_with_rl,5_Kacem_3_workers.fjs,10,16.699163880538915,16.746349158319244,4999992,3106993.2,129600.4619771719,10
hpo_with_rl,5_Kacem_4_workers.fjs,10,31.554866536067408,31.304890729515414,4999992,3936982.8,129600.34089124203,10
hpo_with_rl,6_Fattahi_14_workers.fjs,10,1204.3527729292882,1207.2382204874357,4999992,2653780.8,129600.32607109546,10
hpo_with_rl,6_Fattahi_20_workers.fjs,10,2833.0602425010456,2850.338083732094,4999992,3633121.2,129600.43749613762,10
