comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,quality_ratio,baseline_mean_raw_function_evaluations,candidate_mean_raw_function_evaluations,raw_fe_ratio,baseline_mean_best_found_function_evaluations,candidate_mean_best_found_function_evaluations,best_found_fe_ratio,runtime_ratio,final_robust_stdev_ratio,final_R_delta,quality_outcome,raw_fe_outcome
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,10,198.27429057330716,184.0975000921445,0.9284990986972104,4999992,4999992,1.0,3795706.8,3618865.2,0.9534101000635772,1.0000007484997506,0.9448099016401932,0.001411819378136947,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,10,315.6416811269098,283.68909401007284,0.8987694305683608,4999992,4999992,1.0,4813644,3625256.4,0.7531210035474164,0.9999981832246576,0.8077269380351749,-0.010276405062410898,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,10,1824.3426689650105,1871.3287582374073,1.0257550788411112,1742596.8,455364,0.2613134604631433,1630384.8,289615.2,0.17763610161233104,0.9994957476252442,1.0487872054993306,0.002459175675590508,loss,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,10,1203.5858727018854,1103.0525717991518,0.9164718503408069,4999992,4425673.2,0.88513605621769,4767307.2,1931240.4,0.4051008921766149,1.0000048266388863,0.8839973077505099,0.012457834878036866,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,10,1530.2979554546687,1478.416176413982,0.9660969428497523,4999992,2998045.2,0.599609999375999,4782585.6,936762,0.19586936405278352,0.9999980734600692,0.9710675304700347,0.007222025342935812,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,10,414.6465161919708,368.95521394753905,0.8898066172988709,4999992,4999992,1.0,3915495.6,2830322.4,0.7228516359461622,0.9999999581681649,0.9547218632822193,0.011306334520062133,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,10,2837.453019168551,2832.3318069547167,0.9981951376184073,4999992,4999992,1.0,3844753.2,1298019.6,0.33760804204545564,1.000001200678383,1.0739796010229712,-0.0034522384331570066,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,10,119.08757014924417,113.07410936989601,0.9495038754102387,4999992,4999992,1.0,2673849.6,3065318.4,1.146406439614255,1.0000009675810182,1.032531772703629,0.009986515831826193,win,tie
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,10,5382.2435426825905,5096.064604845183,0.9468290619761194,4999992,1413840,0.28276845242952386,4508493.6,692172,0.15352622436904426,0.9999995100638733,0.9317119520222177,0.010475290532682369,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,10,3699.0364594148195,3477.315886547409,0.9400599114661101,4999992,4160748,0.8321509314414903,4327738.8,1492869.6,0.34495372040475275,0.9999994099168532,0.9378077504184057,0.015149416604009147,win,win
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,10,19618.86389997384,19177.04366048726,0.9774798254506893,4999992,4999992,1.0,3098154,3567618,1.151530233810198,1.0000001970749304,1.0457398580295867,-0.0029628841729243405,win,tie
