comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,6,1005,1955.8607475255383,1842.2948713126573,0.9419356023395024,4779816,722928,0.15124598938536546,4581408,556440,129700.76211380959,129600.89335250854
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,7,1006,1925.742257249723,1904.3668231261267,0.9889001583451131,58104,344220,5.924204874019001,44268,338040,129603.90269804001,129603.53124403954
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,8,1007,1878.5860445921637,2107.495485116738,1.1218519860634173,4844664,507192,0.10469085162562357,4825848,75468,129648.80515956879,129600.19412469864
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,9,1008,1808.4975629681776,1835.3716800967898,1.0148599133772154,65040,401112,6.167158671586716,44520,357132,129601.21967434883,129600.1174390316
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,10,1009,1811.296725704636,1796.3535784183728,0.9917500279914381,82656,342288,4.141114982578397,67248,264216,129602.99671077728,129600.21756744385
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,1,1000,1154.5893417425773,1084.93199332406,0.9396691569026732,4999992,4468812,0.893763830022128,4628988,1059936,129600.04601502419,129600.41942477226
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,2,1001,1239.2047644859622,1221.3992383639188,0.9856314899423185,4999992,4409784,0.8819582111331378,4959300,1490184,129600.97632145882,129600.09247660637
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,3,1002,1297.3964090609954,1082.2570776351224,0.8341761007481264,4999992,4379892,0.8759798015676825,4821420,778488,129600.52553963661,129601.8672785759
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,4,1003,1183.3936228861571,1133.358815941389,0.9577192187137706,4999992,4419672,0.8839358142973028,4981956,883992,129600.8831012249,129601.414093256
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,5,1004,1088.4369141981545,1084.2159790500314,0.9961220213196897,4999992,4317960,0.8635933817494108,3909768,545892,129600.79384660721,129601.20217347145
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,6,1005,1129.650060926427,1068.2858212090568,0.945678540780102,4999992,4483152,0.8966318346109354,4917600,3703692,129600.13910245895,129601.90400123596
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,7,1006,1223.7781225176134,1156.0400917474178,0.9446484378795383,4999992,4515948,0.9031910451056722,4671876,3087252,129601.37622237206,129601.3193924427
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,8,1007,1171.4423171947456,1117.2469204336376,0.9537361797797353,4999992,4304400,0.8608813774102039,4937400,679680,129600.10656309128,129601.13785767555
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,9,1008,1246.6739137584868,1147.576668400157,0.9205106930812642,4999992,4396608,0.8793230069168111,4983504,2557932,129600.52317500114,129602.03837132454
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_12_workers.fjs,10,1009,1244.1227586178836,1088.8582231646662,0.875201595358883,4999992,4560504,0.912102259363615,4861260,4525356,129601.37467503548,129601.60484910011
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,1,1000,1581.7112301260595,1479.351628981415,0.9352855317740352,4999992,2944776,0.5889561423298277,4712316,924840,129601.87262153625,129601.12845182419
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,2,1001,1553.3753190331165,1553.0394675937744,0.9997837924709971,4999992,2971488,0.5942985508776814,4846716,652524,129601.04802775383,129600.05322241783
