comparison,baseline,candidate,paired_runs,paired_instances,quality_geometric_mean_ratio,quality_improvement_percent,quality_ci_low,quality_ci_high,quality_superior,quality_noninferior_2pct,raw_fe_geometric_mean_ratio,raw_fe_reduction_percent,raw_fe_ci_low,raw_fe_ci_high,raw_fe_reduced,best_found_fe_geometric_mean_ratio,best_found_fe_ci_low,best_found_fe_ci_high,runtime_geometric_mean_ratio,runtime_ci_low,runtime_ci_high,final_robust_stdev_geometric_mean_ratio,final_robust_stdev_ci_low,final_robust_stdev_ci_high,mean_final_R_delta,quality_wins,quality_ties,quality_losses,raw_fe_wins,raw_fe_ties,raw_fe_losses
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,300,30,0.936699156466874,6.330084353312603,0.918785779332278,0.9534171757418484,True,True,0.7573918669728688,24.260813302713125,0.6268207048722488,0.8905887197602597,True,0.4800177382689056,0.3721823216275386,0.6086947233051128,0.9999835757049669,0.9999493940109855,1.0000010164873185,0.9513725814412342,0.9200052346547232,0.9825260718445552,0.0065777413044445805,29,0,1,11,19,0
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,300,30,1.002223940017545,-0.22239400175450008,0.9959941462425255,1.0097369023093652,False,True,1.010701254312368,-1.0701254312367903,1.0,1.0324485389425468,False,1.0372659747438977,0.9975790116571029,1.081170839707812,1.000003319151173,0.9999992955703361,1.0000106717026858,0.9984480659476848,0.9698158028451281,1.0283359038180526,0.0006389035707558073,13,0,17,0,29,1
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,300,30,0.9979078490473589,0.20921509526411475,0.9896638507122975,1.0059333285606846,False,True,1.0270919228942184,-2.7091922894218357,1.0052141106122099,1.0539792903644745,False,1.0146891451523943,0.9210740844393431,1.1106687215345354,1.000000079475898,0.9999992409203524,1.0000010287297343,0.9771003714169824,0.9520170570778393,1.0026731843563166,-0.0012351649180142607,16,0,14,4,19,7
pipeline_effect_with_rl,hpo_rl_only,hpo_with_rl,300,30,0.9326652488644105,6.733475113558951,0.9154600417860825,0.9475397513515181,True,True,0.7696745855558067,23.03254144441933,0.6477896345795346,0.8905391869975093,True,0.46956981175664175,0.3714425211095204,0.5873752481257009,0.9999803360936539,0.9999402185067018,1.0000008387630939,0.9310314020187308,0.9061711257731908,0.9567652446711437,0.004703672815674512,30,0,0,11,19,0
combined_effect,hpo_plain_ga,hpo_with_rl,300,30,0.9347394404343337,6.526055956566634,0.9165997325901396,0.9504386010333086,True,True,0.7779110690336057,22.208893096639425,0.6623240230936427,0.8940877598402348,True,0.4870687885020616,0.38378868449685194,0.6130813572975038,0.9999836551795596,0.9999502290750972,1.0000007942185163,0.9295865026821631,0.8998162218615642,0.9563121836010265,0.00534257638643032,30,0,0,11,19,0
