Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2a_Hurink_sdata_40_workers.fjs;1;1000;3732.7153728152803;1756.0;44.170560394494494;2.1256921257490204;142550;5000000;126252.7815914154;84852
2a_Hurink_sdata_40_workers.fjs;2;1001;3698.1665411041686;1751.0;45.466825615937566;2.11203114854607;866940;5000000;128158.97192430496;85202
2a_Hurink_sdata_40_workers.fjs;3;1002;3698.8743664415524;1749.0;49.70442121557777;2.1148509813845355;1931510;5000000;129526.87868022919;83736
2a_Hurink_sdata_40_workers.fjs;4;1003;3538.986471459372;1662.0;54.720220440910936;2.1293540742836172;146280;5000000;126863.49422597885;84720
2a_Hurink_sdata_40_workers.fjs;5;1004;3564.075865066753;1682.0;34.5096043786836;2.1189511682917677;3105110;5000000;124196.39255023003;84160
2a_Hurink_sdata_40_workers.fjs;6;1005;3734.4564984459066;1765.0;42.85227842538731;2.1158393758900322;565610;5000000;127665.81250572205;84425
2a_Hurink_sdata_40_workers.fjs;7;1006;3828.471280436058;1806.0;47.589150401929004;2.1198622815260566;478150;5000000;127174.36469721794;84666
2a_Hurink_sdata_40_workers.fjs;8;1007;3577.9578375293527;1694.0;37.50563503737196;2.1121356774081184;1946490;5000000;127641.20244860649;81042
2a_Hurink_sdata_40_workers.fjs;9;1008;3471.271984260472;1627.0;58.026680761049676;2.133541477726166;202680;4946200;129600.36279249191;82601
2a_Hurink_sdata_40_workers.fjs;10;1009;3800.737286030936;1789.0;46.75590467887274;2.12450379319784;1698550;5000000;126540.99498081207;85340
