Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
1_Brandimarte_14_workers.fjs;1;1000;1416.1290876768676;672.0;12.207474647229516;2.107334951900101;2237800;4061130;129600.81408691406;66185
1_Brandimarte_14_workers.fjs;2;1001;1467.4541509430112;693.0;14.090049601424546;2.1175384573492226;133230;4021440;129600.5106561184;67837
1_Brandimarte_14_workers.fjs;3;1002;1434.4502018210371;681.0;14.416740442440135;2.1063879615580574;293870;3880260;129600.08019709587;69193
1_Brandimarte_14_workers.fjs;4;1003;1516.0663762110094;716.0;16.536665744292655;2.1174111399595104;236610;3355480;129600.8329911232;73506
1_Brandimarte_14_workers.fjs;5;1004;1511.681437335988;717.0;13.673341550971516;2.1083423114867337;2313380;4000940;129600.68337607384;68496
1_Brandimarte_14_workers.fjs;6;1005;1729.6049913077538;824.0;13.886564564282716;2.0990351836259147;2470250;3631460;129601.32494091988;71457
1_Brandimarte_14_workers.fjs;7;1006;1490.9282140637342;705.0;15.557528716256611;2.1147917929982047;453520;3810880;129600.66761445999;69871
1_Brandimarte_14_workers.fjs;8;1007;1569.1613963996588;746.0;12.59161716462308;2.1034335072381487;167500;3802870;129601.57119011879;69616
1_Brandimarte_14_workers.fjs;9;1008;1493.7490008553964;708.0;18.132665997723933;2.1098149729595996;609310;4079770;129600.64452886581;66594
1_Brandimarte_14_workers.fjs;10;1009;1458.6020307609622;691.0;15.133673256419259;2.110856773894301;478610;4015720;129600.34415626526;67627
