rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
50,ok,TPE0037_eb4e62983e,,TPE guided by screening summary,1.0794503035761427,36,0,36,112.62285508389276,4027.565601178336,2047.918953946471,5546.155193648371,3824.971662375662,453817,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":0.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":4,""ls.uncertain_k"":2,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1200}"
51,ok,TPE0014_27a138f024,,TPE guided by screening summary,1.0794560845391723,36,0,36,110.54829349744124,4078.466253305686,2086.4323678130636,5685.805975047304,4729.08012794786,408995.3333333333,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":5,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":400,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
52,ok,TPE0050_4ab5a3c91c,,TPE guided by screening summary,1.0794977517297126,36,0,36,112.69435762965423,4007.466154316915,2099.679876489292,5478.332122123134,4967.051181144185,368018.6666666667,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":360,""ga.restart_generations"":400,""ls.interval"":30,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":8,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":400,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
53,ok,TPE0059_4e6a941fff,,TPE guided by screening summary,1.0796561370630604,36,0,36,111.80021844128822,4048.3753927678677,2096.9893758205912,5627.356920994123,5581.4762776626485,366404.6666666667,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":4,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
54,ok,TPE0048_af5ca20ade,,TPE guided by screening summary,1.080089581590286,36,0,36,113.20389876732878,4054.3834992029106,2064.1188639850325,5648.6561044239115,6303.998167905543,278461.55555555556,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":4,""ga.population_size"":360,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
55,ok,TPE0056_35067b4268,,TPE guided by screening summary,1.0803318456709439,35,1,36,118.01071675413428,4117.481427008344,2068.320253238575,5730.445583688741,4012.494009099688,492546.17142857146,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":30,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
56,ok,TPE0033_75cbbe37ba,,TPE guided by screening summary,1.0809758970541317,36,0,36,110.32770396650288,4137.5103979975265,2141.335755306977,5882.522343141578,4448.213411655691,364996.44444444444,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":160,""ga.restart_generations"":800,""ls.interval"":15,""ls.min_predicted_improvement"":1.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.015,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
57,ok,TPE0025_e8db426b41,,TPE guided by screening summary,1.0812502174026368,36,0,36,109.96552406383117,4044.684083423502,2042.7442715502984,5600.361821735235,5238.968123561806,391930,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":280,""ga.restart_generations"":800,""ls.interval"":15,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":600}"
58,ok,TPE0062_69581ed1f9,,TPE guided by screening summary,1.0818214513493485,36,0,36,113.0324139744859,4042.9320006895405,2123.1833919782794,5618.387831823863,5023.548401998149,403337,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":5,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.interval"":15,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":4,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1000}"
59,ok,TPE0005_4dbec242e4,,TPE guided by screening summary,1.0820486381934673,35,1,36,110.07538789634894,4128.108573208932,2013.8808929893855,5757.166582279714,4544.78773292814,459212.85714285716,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":2,""sur.n_estimators"":500,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
