Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
1_Brandimarte_12_workers.fjs;1;1000;1208.9983843196258;572.0;11.326220873601281;2.113633539020325;1249080;5000000;111502.09688210487;87284
1_Brandimarte_12_workers.fjs;2;1001;1201.8936328177522;568.0;13.205964890141393;2.1160099169326623;3468920;5000000;110766.85330796242;83867
1_Brandimarte_12_workers.fjs;3;1002;1218.5435485740002;578.0;10.92154204000438;2.108206831442907;154280;5000000;109823.19458913803;85045
1_Brandimarte_12_workers.fjs;4;1003;1164.0769537376348;549.0;13.014943263337225;2.120358749977477;515770;5000000;109517.87899422646;85254
1_Brandimarte_12_workers.fjs;5;1004;1119.1444957936749;531.0;9.466419553074799;2.107616752907109;841710;5000000;108177.7175283432;82875
1_Brandimarte_12_workers.fjs;6;1005;1087.246608072505;515.0;10.219807295910865;2.111158462276709;185510;5000000;110209.94201159477;83906
1_Brandimarte_12_workers.fjs;7;1006;1198.610503525013;566.0;16.041089573013494;2.1176864019876556;4031840;5000000;107950.30860352516;82833
1_Brandimarte_12_workers.fjs;8;1007;1117.7585464890092;529.0;12.817104231934643;2.112965116236312;658610;5000000;109365.16341018677;82388
1_Brandimarte_12_workers.fjs;9;1008;1148.0312556718964;543.0;13.1218876075244;2.1142380399114113;274260;5000000;110202.7665245533;83156
1_Brandimarte_12_workers.fjs;10;1009;1133.7329559654333;536.0;12.423078005470593;2.1151734253086443;300620;5000000;110040.76585769653;82781
