Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2d_Hurink_vdata_30_workers.fjs;1;1000;2839.1016440619514;1324.0;40.01147675910715;2.144336589170658;1237520;5000000;110991.97113871574;80188
2d_Hurink_vdata_30_workers.fjs;2;1001;2884.7063572931856;1356.0;46.813952433233766;2.1273645702752106;340640;5000000;111584.94736504555;82344
2d_Hurink_vdata_30_workers.fjs;3;1002;2903.586194706495;1370.0;38.9605449110624;2.1194059815375876;265210;5000000;112086.58146166801;83065
2d_Hurink_vdata_30_workers.fjs;4;1003;3058.1303071159077;1433.0;35.00024098954382;2.1340755806810243;704960;5000000;114471.79026603699;84731
2d_Hurink_vdata_30_workers.fjs;5;1004;2819.571489703667;1336.0;32.44529948146409;2.1104577018740023;1848360;5000000;112117.39557337761;83344
2d_Hurink_vdata_30_workers.fjs;6;1005;2815.774176967616;1322.0;31.732904999409662;2.1299350809134765;208660;5000000;113491.38308787346;83800
2d_Hurink_vdata_30_workers.fjs;7;1006;3148.468903223242;1455.0;54.432839670880725;2.1638961534180354;4899720;5000000;114099.2870156765;84470
2d_Hurink_vdata_30_workers.fjs;8;1007;3013.7527015465926;1419.0;31.24334416015505;2.123856731181531;590290;5000000;114881.889346838;84795
2d_Hurink_vdata_30_workers.fjs;9;1008;2974.2058331922876;1391.0;48.28278455158553;2.1381781690814434;997220;5000000;112633.9988181591;82947
2d_Hurink_vdata_30_workers.fjs;10;1009;2944.6104647205834;1378.0;50.18734064841894;2.136872615907535;965900;5000000;113019.21197271347;82791
