Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2d_Hurink_vdata_5_workers.fjs;1;1000;1172.6477680605456;553.0;22.948490861403883;2.1205203762396847;3847700;5000000;33158.50292468071;23603
2d_Hurink_vdata_5_workers.fjs;2;1001;1140.976921854118;535.0;30.041071033462195;2.132667143652557;4586570;5000000;35405.60409331322;26869
2d_Hurink_vdata_5_workers.fjs;3;1002;1272.0526273511573;595.0;32.24613787876287;2.137903575380096;3726590;5000000;33076.75475525856;22891
2d_Hurink_vdata_5_workers.fjs;4;1003;1161.2281933736133;542.0;24.554651671194716;2.142487441648733;4194410;5000000;35781.01523923874;27536
2d_Hurink_vdata_5_workers.fjs;5;1004;1165.1836278549235;550.0;26.040075049687374;2.118515687008952;1858620;5000000;36280.10987329483;27819
2d_Hurink_vdata_5_workers.fjs;6;1005;1154.9659641868593;544.0;19.280284074408453;2.1230991988729033;4127180;5000000;32773.50700759888;23131
2d_Hurink_vdata_5_workers.fjs;7;1006;1218.8358616295163;562.0;51.64527500687981;2.168747084750029;4051620;5000000;35147.72956037521;26223
2d_Hurink_vdata_5_workers.fjs;8;1007;1218.3581891043737;580.0;20.953229649107907;2.100617567421334;4390220;5000000;32855.58579969406;21429
2d_Hurink_vdata_5_workers.fjs;9;1008;1228.001043333404;582.0;19.975965331186337;2.1099674284079106;4744690;5000000;33831.594467163086;24707
2d_Hurink_vdata_5_workers.fjs;10;1009;1149.7929148429384;537.0;33.04663518694457;2.141141368422604;4553310;5000000;33394.21300625801;23249
