variant,successful_runs,missing_runs,expected_runs,mean_fitness,median_fitness,mean_runtime_s,mean_function_evaluations,mean_final_R
competition_no_rl,300,0,300,3269.7895358408,2087.648631736035,66656.18139277697,2325157.8,2.1202915251746925
hpo_no_rl,300,0,300,3207.1269754400473,2056.0290497020887,129600.87347642501,2241302.76,2.1220727016680008
competition_with_rl,300,0,300,3270.18816520975,2109.7826543425244,66472.4613764286,2235613.6,2.1211719566877454
hpo_with_rl,300,0,300,3188.3230351249003,2075.82768847893,129600.88377707243,2250428.6,2.120837536749986
