variant,instance,successful_runs,missing_runs,median_fitness,mean_fitness,fitness_stdev,mean_runtime_s,mean_function_evaluations,mean_final_robust_stdev,mean_final_R
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,10,0,189.7047862917523,190.0146020895003,7.3088801416816755,20223.98371169567,3146001,4.9471657659628585,2.1208168304956216
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,10,0,287.1578695710717,288.5783923514004,15.62196564259033,36261.262284994125,4266773,5.0994765877755945,2.1264709228195544
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,10,0,1879.1204587492005,1871.369554831596,72.96382049390962,129600.9459505558,255957,17.72049462341986,2.1076975490521854
competition_no_rl,1_Brandimarte_12_workers.fjs,10,0,1156.0541047047655,1159.8036884966546,45.54612981136623,108729.98611419201,1168060,12.255805733401306,2.1137047236001214
competition_no_rl,1_Brandimarte_14_workers.fjs,10,0,1492.3386074595653,1508.6166936014126,89.03391222726198,129600.9990315199,939408,14.531446738516177,2.109263191857469
competition_no_rl,1_Brandimarte_7_workers.fjs,10,0,381.38693896347706,379.99052430764243,15.573399451197664,64453.794818758965,2577425,6.177561806394255,2.1182755268577695
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,10,0,2771.546372095655,2784.7240935571263,85.93459149557275,59169.7295886755,2963816,37.317639400721845,2.104770765912369
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,10,0,112.29479983229733,113.97424319784827,3.9421083186482186,12611.555644464494,3097665,2.7140810483647932,2.1148831432565536
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,10,0,5172.2765815987705,5209.430329300601,238.8190443911593,129600.59253778457,344416,56.71537382957602,2.117240379098536
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,10,0,3698.5204537728605,3664.571350358985,119.24516039610535,124892.15818181037,1108387,46.13012813502151,2.1206762104003225
competition_no_rl,2a_Hurink_sdata_54_workers.fjs,10,0,18765.897404271098,18538.918668671864,509.36832073616625,23263.406992793083,4126629,326.5259782667551,2.1084274460684784
competition_no_rl,2a_Hurink_sdata_61_workers.fjs,10,0,2023.580876482434,2032.3338972433025,103.7088922313696,33818.74032690525,3606775,34.702214400824126,2.116073478352899
competition_no_rl,2a_Hurink_sdata_63_workers.fjs,10,0,877.6075375032499,883.3252329056792,24.912168757355108,34718.23162093163,3594142,14.197863255092738,2.11422783556271
competition_no_rl,2b_Hurink_edata_1_workers.fjs,10,0,107.58233815779364,108.78941425130611,2.533285243297471,12748.077855443955,3131141,2.7547561518854864,2.1083967334904146
competition_no_rl,2b_Hurink_edata_6_workers.fjs,10,0,1232.3647805180583,1235.456764398208,34.889732633295885,17534.498657894135,3214613,26.4771649353375,2.113464037168262
competition_no_rl,2c_Hurink_rdata_28_workers.fjs,10,0,2224.139456931579,2209.7852823916546,100.22526062632417,85033.3461992979,1081110,34.12593718103847,2.1251258986810857
competition_no_rl,2c_Hurink_rdata_38_workers.fjs,10,0,4495.425533285852,4522.234626180157,270.8720584462048,129600.53317501544,559702,48.927228199760116,2.1251472382881
competition_no_rl,2c_Hurink_rdata_50_workers.fjs,10,0,13105.581466552312,13093.165485252339,331.18602882009,19170.045837450027,3238811,278.8276574674417,2.1166725633346433
