comparison,baseline,candidate,paired_runs,paired_instances,geometric_mean_ratio,improvement_percent,bootstrap_ci_low,bootstrap_ci_high,geometric_mean_runtime_ratio,geometric_mean_function_evaluations_ratio,geometric_mean_final_robust_stdev_ratio,mean_final_R_delta,wins,ties,losses
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,300,30,0.9837526578187782,1.6247342181221813,0.9741057333446395,0.993736810878137,2.7781384348161446,1.040563934594198,0.9720535814065995,0.0017811764933078826,21,0,9
rl_effect_on_competition,competition_no_rl,competition_with_rl,300,30,1.0045205339575516,-0.4520533957551587,0.9970452635759661,1.013075386342774,1.0032331644457018,0.9831216594021316,0.9918742545197761,0.0008804315130529113,12,0,18
rl_effect_on_hpo,hpo_no_rl,hpo_with_rl,300,30,0.9979078490473589,0.20921509526411475,0.9896328453056088,1.0059798119849723,1.000000079475898,1.0146891451523943,0.9771003714169824,-0.0012351649180142607,16,0,14
combined_effect,competition_no_rl,hpo_with_rl,300,30,0.9816944987585594,1.8305501241440592,0.9732713844978705,0.9901054011592714,2.7781386556111918,1.0558489292697986,0.9497939154295962,0.000546011575293622,22,0,8
