comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,improvement_percent,baseline_runtime_s,candidate_runtime_s,baseline_function_evaluations,candidate_function_evaluations,baseline_final_R,candidate_final_R
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,182.32603118169484,178.5286383805334,0.9791725143329798,2.0827485667020196,20357.449500083923,129600.54601573944,3554140,4359096,2.1200701300197076,2.1003369221239225
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,192.20967476796582,186.96311792030193,0.9727039918568224,2.7296008143177564,19966.233690023422,129600.49124312401,3916640,3815028,2.135663052977398,2.100709190115752
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,204.96485423843953,171.37400081818723,0.8361140813869707,16.388591861302928,20203.64484834671,129600.17172980309,1970750,2437056,2.1130397344169025,2.1421750102273402
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,196.07566020251252,192.19723651420426,0.9802197596361398,1.9780240363860169,20257.677788496017,129601.40086627007,4656070,3983376,2.154677584642995,2.112057544112135
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,189.42607700053188,176.1119511060214,0.9297133419783956,7.028665802160439,20328.427050113678,129601.29624414444,4904730,4407372,2.1283828876464255,2.121830736217125
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,187.6711446628449,180.43882947157744,0.9614628279469363,3.853717205306373,19999.575818538666,129601.59934949875,2124660,4910196,2.085234940698277,2.148081303233065
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,182.73321683039796,183.5034947716236,1.0042153142958161,-0.42153142958161194,20576.705412387848,129600.24977445602,1480330,3174468,2.1248048468650924,2.133761567111902
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,189.98349558297272,190.98879564072303,1.0052915125846353,-0.5291512584635338,20310.08421587944,129600.5017542839,3323650,1143600,2.110927728699697,2.0987779740738794
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,180.9034876785695,197.61266022526374,1.0923651210991754,-9.236512109917538,20053.41110086441,129600.66140294075,2005700,3153984,2.1282763256302295,2.1022623428219545
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,193.85237874907332,184.69150541266538,0.9527430439826278,4.725695601737224,20186.627692222595,129600.93010139465,3523340,4804476,2.1070910733594927,2.122890866812246
