comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,fitness_ratio,improvement_percent,baseline_mean_runtime_s,candidate_mean_runtime_s,runtime_ratio,baseline_mean_function_evaluations,candidate_mean_function_evaluations,function_evaluations_ratio,baseline_mean_final_robust_stdev,candidate_mean_final_robust_stdev,final_robust_stdev_ratio,baseline_mean_final_R,candidate_mean_final_R,final_R_delta,outcome
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,10,189.7047862917523,184.0975000921445,0.9704420415045079,2.9557958495492143,20223.98371169567,129600.78484816551,6.4082718170513795,3146001,3618865.2,1.150306436647668,4.9471657659628585,4.530587858416108,0.915794633280158,2.1208168304956216,2.118288345684932,-0.0025284848106896796,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,10,287.1578695710717,283.68909401007284,0.9879203186519658,1.2079681348034166,36261.262284994125,129601.18080477715,3.5740945747056787,4266773,3625256.4,0.8496482939214249,5.0994765877755945,5.283900021750786,1.0361651692680165,2.1264709228195544,2.1328566190385327,0.006385696218978332,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,10,1879.1204587492005,1871.3287582374073,0.9958535385661335,0.4146461433866544,129600.9459505558,129601.84463984966,1.0000069342803577,255957,289615.2,1.1314994315451423,17.72049462341986,17.572879914281465,0.9916698313294651,2.1076975490521854,2.106473364630762,-0.0012241844214235797,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,1_Brandimarte_12_workers.fjs,10,1156.0541047047655,1103.0525717991518,0.9541530688832689,4.58469311167311,108729.98611419201,129601.29999184608,1.1919554542730677,1168060,1931240.4,1.6533743129633751,12.255805733401306,12.027160890133235,0.9813439566323302,2.1137047236001214,2.1176763732257062,0.003971649625584828,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,1_Brandimarte_14_workers.fjs,10,1492.3386074595653,1478.416176413982,0.9906707291656256,0.9329270834374404,129600.9990315199,129601.24277057647,1.0000018806880997,939408,936762,0.9971833324817332,14.531446738516177,14.15547365947396,0.9741269341031485,2.109263191857469,2.1108264141040114,0.0015632222465424839,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,1_Brandimarte_7_workers.fjs,10,381.38693896347706,368.95521394753905,0.9674039046808351,3.2596095319164853,64453.794818758965,129600.42667775154,2.0107493599435355,2577425,2830322.4,1.0981201780847163,6.177561806394255,6.223079911405006,1.0073682961720651,2.1182755268577695,2.12693217330159,0.00865664644382047,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,10,2771.546372095655,2832.3318069547167,1.021931956640184,-2.1931956640184103,59169.7295886755,129600.58954002857,2.190319111494348,2963816,1298019.6,0.43795552760360296,37.317639400721845,42.31413942244017,1.1338911062424188,2.104770765912369,2.107995233321523,0.0032244674091539416,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,10,112.29479983229733,113.07410936989601,1.0069398541941614,-0.6939854194161432,12611.555644464494,129600.41370940208,10.27632255393384,3097665,3065318.4,0.9895577475291872,2.7140810483647932,2.6414142862635694,0.9732260161703702,2.1148831432565536,2.1111332381202863,-0.003749905136267273,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,10,5172.2765815987705,5096.064604845183,0.9852652936185345,1.4734706381465457,129600.59253778457,129601.4154826641,1.000006349854298,344416,692172,2.0096975750255504,56.71537382957602,55.7305136282217,0.982635039939722,2.117240379098536,2.119178582320526,0.0019382032219898981,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,10,3698.5204537728605,3477.315886547409,0.9401910655922422,5.98089344077578,124892.15818181037,129600.95053641796,1.0377028664021708,1108387,1492869.6,1.3468847974579277,46.13012813502151,44.406322886230626,0.9626316830565622,2.1206762104003225,2.1276398268588133,0.006963616458490751,win
