Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
3_DPpaulli_1_workers.fjs;1;1000;6201.139129223383;2928.0;57.791397651117265;2.117875385663724;230420;5000000;124354.13123703003;83380
3_DPpaulli_1_workers.fjs;2;1001;6848.376390568565;3247.0;70.61668518996551;2.109139633682958;3146220;5000000;121824.67303657532;84902
3_DPpaulli_1_workers.fjs;3;1002;6655.51946612972;3160.0;61.2025320433015;2.1061770462435825;202460;5000000;122094.5906150341;84026
3_DPpaulli_1_workers.fjs;4;1003;6353.628276319298;3006.0;79.51796781908568;2.1136487945173976;258230;5000000;121091.28176355362;83006
3_DPpaulli_1_workers.fjs;5;1004;6380.440948187216;3025.0;54.92262262094444;2.109236677086683;3596730;5000000;124798.19891786575;84022
3_DPpaulli_1_workers.fjs;6;1005;6446.975564516584;3069.0;48.83183684299426;2.100676299940236;3584170;5000000;120982.55080461502;84254
3_DPpaulli_1_workers.fjs;7;1006;6292.299856577082;2979.0;90.74352477076744;2.112218817246419;257630;5000000;119605.2829413414;83152
3_DPpaulli_1_workers.fjs;8;1007;6530.664002434722;3109.0;43.07180699253976;2.100567385794378;154080;5000000;121980.26457190514;84458
3_DPpaulli_1_workers.fjs;9;1008;6253.090546081012;2966.0;62.73595942468622;2.1082570957791678;2855850;5000000;122736.67458081245;84919
3_DPpaulli_1_workers.fjs;10;1009;6470.138509716726;3061.0;62.17733134875666;2.113733586970508;4065480;5000000;123256.45775675774;84766
