Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2a_Hurink_sdata_63_workers.fjs;1;1000;912.8762109732633;433.0;15.641563557675765;2.108259147744257;4996790;5000000;36658.71056461334;32903
2a_Hurink_sdata_63_workers.fjs;2;1001;905.5058716238792;428.0;18.049780246560378;2.115667924354858;571390;5000000;34848.081174850464;28547
2a_Hurink_sdata_63_workers.fjs;3;1002;854.8607148983949;404.0;13.133802410289155;2.1159918685603833;4965090;5000000;35606.11653017998;30172
2a_Hurink_sdata_63_workers.fjs;4;1003;884.954819094337;419.0;13.456710787845704;2.1120640073850527;3771060;5000000;34860.69215607643;28634
2a_Hurink_sdata_63_workers.fjs;5;1004;865.3265344717249;407.0;13.339707815268254;2.1261094213064493;4201640;5000000;35139.62374162674;29167
2a_Hurink_sdata_63_workers.fjs;6;1005;870.2602559121628;415.0;10.063701443668167;2.0970126648485854;4866070;5000000;35101.44560647011;30090
2a_Hurink_sdata_63_workers.fjs;7;1006;920.6654684219654;434.0;18.388045154371916;2.1213490055805657;3683280;5000000;34754.541828393936;28384
2a_Hurink_sdata_63_workers.fjs;8;1007;860.8985013919737;407.0;14.14228619395689;2.1152297331498127;1114240;5000000;35912.25470972061;31565
2a_Hurink_sdata_63_workers.fjs;9;1008;856.846874902099;406.0;10.523621896937877;2.110460283010096;3576200;5000000;35295.23170042038;30040
2a_Hurink_sdata_63_workers.fjs;10;1009;901.0570773669917;425.0;15.23941304435327;2.1201342996870394;4195660;5000000;42609.14037036896;43093
