Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2a_Hurink_sdata_61_workers.fjs;1;1000;1900.6553435783205;907.0;24.24955167196706;2.0955406213652927;4992870;5000000;33680.27172827721;26672
2a_Hurink_sdata_61_workers.fjs;2;1001;2240.0238340769683;1067.0;32.25512724284323;2.0993662924807577;4880890;5000000;35425.77045464516;31258
2a_Hurink_sdata_61_workers.fjs;3;1002;2052.8210499859265;970.0;30.974660983508052;2.1163103608102336;2845680;5000000;34242.92659974098;27676
2a_Hurink_sdata_61_workers.fjs;4;1003;2044.4907739018413;963.0;33.558846193275635;2.1230433789219534;1852480;5000000;33903.37534713745;27578
2a_Hurink_sdata_61_workers.fjs;5;1004;1949.099403063879;920.0;30.312987893680067;2.1185863076781293;4957520;5000000;34523.91486573219;28958
2a_Hurink_sdata_61_workers.fjs;6;1005;1923.529749689821;910.0;23.247102653784356;2.1137689557031;4735490;5000000;32561.228823661804;24966
2a_Hurink_sdata_61_workers.fjs;7;1006;1989.4837443276863;931.0;53.54165315683929;2.136932056205893;4108450;5000000;35238.25743675232;30247
2a_Hurink_sdata_61_workers.fjs;8;1007;2002.6709790630266;943.0;39.05500415018867;2.12372320155146;95340;5000000;34136.6489136219;27168
2a_Hurink_sdata_61_workers.fjs;9;1008;2077.695482406244;979.0;35.24606900558987;2.1222630055222105;4372760;5000000;34052.701192855835;27419
2a_Hurink_sdata_61_workers.fjs;10;1009;2142.8686123393113;1015.0;44.58114105656501;2.1112006032899617;3226270;5000000;35172.66620802879;30616
