rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
39,ok,R0003_79fb74a7cc,,random screening,0.9962223554196067,16,0,16,113.9881063390906,3615.7450664573425,1787.7550955765446,6333.619515697715,2594.296174943447,139346.5,"{""ga.elitism_rate"":0.1,""ga.offspring_ratio"":4,""ga.population_size"":200,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":8,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":300,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":50,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":1000}"
40,ok,R0020_f0860d81a6,,random screening,0.9984259774561585,16,0,16,118.42116152016521,3519.3687991852853,1806.0719629551882,6005.524316978035,2310.6094405800104,181757,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":4,""ga.population_size"":360,""ga.restart_generations"":1200,""ls.use"":false,""stoch.internal_simulations"":16,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":400,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.015,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":1200}"
41,ok,R0023_0cc87bcad6,,random screening,0.9997476173644482,16,0,16,113.3464058804325,3507.970641594679,1832.2952740634892,5967.086130718353,2061.5217602849007,169145,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":240,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":16,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
42,ok,R0035_d957bde103,,random screening,1.0003292252699965,16,0,16,119.5610824091309,3534.7714362118168,1851.8457543719446,6044.903800316118,7200.835207998753,172519.5,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":300,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":600}"
43,ok,C0_repo_reproduction,,repo baseline,1.0008994927504207,16,0,16,112.2343229413783,3601.6825760428724,1708.5968430061157,6195.077199192975,2487.399350643158,162456.875,"{""ga.elitism_rate"":0.1,""ga.offspring_ratio"":5,""ga.population_size"":200,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":3,""ls.random_k"":3,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":10,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":300,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":1000}"
44,ok,R0018_1d65cd394c,,random screening,1.0011512201631927,16,0,16,112.7569510228015,3647.7255739103193,1782.5086393729093,6364.12243893064,2810.2667337805033,140669.5,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":5,""ga.population_size"":200,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":8,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":5,""sur.n_estimators"":400,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":1000}"
45,ok,R0011_6adba1a77d,,random screening,1.00309244637087,16,0,16,118.00095794029237,3670.6893465846115,1846.6679580275343,6424.718382129427,3041.9610355347395,125736,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":4,""ga.population_size"":200,""ga.restart_generations"":400,""ls.interval"":30,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":3,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":6,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":2,""sur.n_estimators"":400,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
46,ok,R0022_8d021c9f5e,,random screening,1.0039541268772465,16,0,16,119.2348959857432,3587.03078820203,1821.7888541102284,6145.439924642958,2037.830071941018,183874,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":4,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":16,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":50,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
47,ok,R0006_974c9a3ba3,,random screening,1.0049617415012368,16,0,16,115.40513323679468,3603.9522403656897,1794.6220341148933,6207.27676554174,7200.318502157927,186849.75,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":160,""ga.restart_generations"":1200,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":7,""sur.n_estimators"":400,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":50,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":600}"
48,ok,R0017_d88a3f2530,,random screening,1.0089438552643637,16,0,16,119.61597674224242,3594.2058452534866,1883.2285687190856,6132.93367573061,7200.523504734039,182980.5,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":2,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
