rank,status,config_id,rl_learning_rate,rl_update_interval,score,successful_runs,expected_runs,mean_fitness,median_fitness,best_fitness,std_fitness,mean_runtime_s
1,ok,rl_lr1e-04_u008,0.0001,8,1.019818582127949,16,16,3276.104093376439,1620.4499482100816,114.18921287711355,5652.201239490228,7201.305765762925
2,ok,rl_lr3e-04_u016,0.0003,16,1.0360188253467955,16,16,3312.408142657005,1664.4817575407528,113.37713878921564,5633.427394949337,7202.285984352231
3,ok,rl_lr1e-03_u032,0.001,32,1.0416209958988596,16,16,3325.511010283693,1683.407311302854,114.45614178548662,5658.165908197884,7201.270895406604
4,ok,rl_lr1e-03_u008,0.001,8,1.0447995138527544,16,16,3337.922837459771,1673.8723494641795,110.03591546850552,5696.296150475679,7202.1569841355085
5,ok,rl_lr3e-04_u032,0.0003,32,1.0453147425172276,16,16,3326.952665283489,1657.4144306107091,112.92739771526922,5645.959155826986,7202.008592918515
6,ok,rl_lr1e-04_u016,0.0001,16,1.0484251048397029,16,16,3363.770409458144,1661.5370889070155,114.41011019738974,5748.817732359523,7201.94877268374
7,ok,rl_lr3e-04_u008,0.0003,8,1.0494081055826945,16,16,3355.1172977781907,1674.9252174166627,114.6286533979224,5728.404286754998,7202.460095599294
8,ok,rl_lr1e-04_u032,0.0001,32,1.0511437288794683,16,16,3365.3087964871306,1651.2427530381933,114.93683453494532,5730.669750915232,7201.646565109491
9,ok,rl_lr1e-03_u016,0.001,16,1.0633390424745657,16,16,3367.873533659044,1668.2796904803477,111.85988578330135,5709.201311257505,7201.529744058847
