rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
1,ok,final_rank03_race2_rank04_race1_rank08_TPE0071_8834ed6804,race2_rank04_race1_rank08_TPE0071_8834ed6804,promoted from race2,1.0173746526009255,60,0,60,1086.093119158423,3001.7821532563557,2641.9180077798865,1920.697256670904,7203.712723302841,429170.2,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":3,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":600}"
2,ok,final_rank01_race2_rank02_race1_rank06_TPE0055_c4bc9d3ba1,race2_rank02_race1_rank06_TPE0055_c4bc9d3ba1,promoted from race2,1.0175278625628972,60,0,60,1084.448936634784,2999.4250209590346,2620.648296002592,1917.0720676555688,7202.930332652728,367192,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":4,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":10,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":600}"
3,ok,final_rank05_race2_rank08_race1_rank11_TPE0026_1900683119,race2_rank08_race1_rank11_TPE0026_1900683119,promoted from race2,1.0182388006194392,60,0,60,1102.4320742657612,2992.172486893749,2647.429745637156,1871.327695392821,7203.114885453383,311170.5,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":1000}"
4,ok,final_rank02_race2_rank03_race1_rank07_TPE0057_a08ec21470,race2_rank03_race1_rank07_TPE0057_a08ec21470,promoted from race2,1.022793666058698,60,0,60,1097.6992821116332,3022.9696277846156,2638.703213510421,1929.5482606661685,7203.460032025973,307136.13333333336,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":4,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
5,ok,final_rank04_race2_rank01_race1_rank03_TPE0023_bca4962ed7,race2_rank01_race1_rank03_TPE0023_bca4962ed7,promoted from race2,1.0291781750853772,60,0,60,1093.1411285969805,3049.647120841987,2651.9330190717556,1978.5983083187996,7203.4395350535715,312832.8333333333,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1200}"
