Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
0_BehnkeGeiger_42_workers.fjs;1;1000;182.32603118169484;86.0;4.259534550120882;2.1200701300197076;3554140;5000000;40353.459240198135;16240
0_BehnkeGeiger_42_workers.fjs;2;1001;192.20967476796582;90.0;5.701798456675652;2.135663052977398;3916640;5000000;39454.22923588753;16253
0_BehnkeGeiger_42_workers.fjs;3;1002;204.96485423843953;97.0;4.762912306025753;2.1130397344169025;1970750;5000000;41062.35480451584;16235
0_BehnkeGeiger_42_workers.fjs;4;1003;196.07566020251252;91.0;7.419882541891592;2.154677584642995;4656070;5000000;40743.48003578186;16276
0_BehnkeGeiger_42_workers.fjs;5;1004;189.42607700053188;89.0;4.836252479084472;2.1283828876464255;4904730;5000000;40925.809661626816;16241
0_BehnkeGeiger_42_workers.fjs;6;1005;187.6711446628449;90.0;4.728178678662073;2.085234940698277;2124660;5000000;40520.886122465134;16258
0_BehnkeGeiger_42_workers.fjs;7;1006;182.73321683039796;86.0;4.042910151810111;2.1248048468650924;1480330;5000000;41268.06374311447;16235
0_BehnkeGeiger_42_workers.fjs;8;1007;189.98349558297272;90.0;4.981559017116015;2.110927728699697;3323650;5000000;41226.092609882355;16249
0_BehnkeGeiger_42_workers.fjs;9;1008;180.9034876785695;85.0;4.208989592688574;2.1282763256302295;2005700;5000000;40491.900393247604;16246
0_BehnkeGeiger_42_workers.fjs;10;1009;193.85237874907332;92.0;4.529639885553464;2.1070910733594927;3523340;5000000;39578.734409570694;16249
